"Name","DisplayName","Status","StartType"
"LanmanWorkstation","Workstation","Running","Automatic"
"lfsvc","Geolocation Service","Running","Manual"
"LicenseManager","Windows License Manager Service","Running","Manual"
"lltdsvc","Link-Layer Topology Discovery Mapper","Stopped","Manual"
"lmhosts","TCP/IP NetBIOS Helper","Running","Manual"
"LSM","Local Session Manager","Running","Automatic"
"LxpSvc","Language Experience Service","Stopped","Manual"
"MapsBroker","Downloaded Maps Manager","Stopped","Automatic"
"McpManagementService","McpManagementService","Stopped","Manual"
"MDCoreSvc","Microsoft Defender Core Service","Running","Automatic"
"MessagingService_4da02d0","MessagingService_4da02d0","Stopped","Manual"
"MicrosoftEdgeElevationService","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","Stopped","Manual"
"MixedRealityOpenXRSvc","Windows Mixed Reality OpenXR Service","Stopped","Manual"
"mpssvc","Windows Defender Firewall","Running","Automatic"
"MSDTC","Distributed Transaction Coordinator","Stopped","Manual"
"MSiSCSI","Microsoft iSCSI Initiator Service","Stopped","Manual"
"msiserver","Windows Installer","Stopped","Manual"
"NaturalAuthentication","Natural Authentication","Stopped","Manual"
"NcaSvc","Network Connectivity Assistant","Stopped","Manual"
"NcbService","Network Connection Broker","Running","Manual"
"NcdAutoSetup","Network Connected Devices Auto-Setup","Stopped","Manual"
"Netlogon","Netlogon","Stopped","Manual"
"Netman","Network Connections","Stopped","Manual"
"netprofm","Network List Service","Running","Manual"
"NetSetupSvc","Network Setup Service","Stopped","Manual"
"NetTcpPortSharing","Net.Tcp Port Sharing Service","Stopped","Disabled"
"NgcCtnrSvc","Microsoft Passport Container","Running","Manual"
"NgcSvc","Microsoft Passport","Running","Manual"
"NlaSvc","Network Location Awareness","Running","Automatic"
"nsi","Network Store Interface Service","Running","Automatic"
"OneDrive Updater Service","OneDrive Updater Service","Stopped","Manual"
"OneSyncSvc_4da02d0","Sync Host_4da02d0","Running","Automatic"
"ose64","Office 64 Source Engine","Stopped","Manual"
"p2pimsvc","Peer Networking Identity Manager","Stopped","Manual"
"p2psvc","Peer Networking Grouping","Stopped","Manual"
"PcaSvc","Program Compatibility Assistant Service","Running","Manual"
"perceptionsimulation","Windows Perception Simulation Service","Stopped","Manual"
"PerfHost","Performance Counter DLL Host","Stopped","Manual"
"PhoneSvc","Phone Service","Running","Manual"
"PimIndexMaintenanceSvc_4da02d0","Contact Data_4da02d0","Running","Manual"
"pla","Performance Logs & Alerts","Stopped","Manual"
"PlugPlay","Plug and Play","Running","Manual"
"PNRPAutoReg","PNRP Machine Name Publication Service","Stopped","Manual"
"PNRPsvc","Peer Name Resolution Protocol","Stopped","Manual"
"PolicyAgent","IPsec Policy Agent","Stopped","Manual"
"Power","Power","Running","Automatic"
"PrintNotify","Printer Extensions and Notifications","Stopped","Manual"
"PrintWorkflowUserSvc_4da02d0","PrintWorkflow_4da02d0","Running","Manual"
"ProfSvc","User Profile Service","Running","Automatic"
"PushToInstall","Windows PushToInstall Service","Stopped","Manual"
"QWAVE","Quality Windows Audio Video Experience","Running","Manual"
"RasAuto","Remote Access Auto Connection Manager","Stopped","Manual"
"RasMan","Remote Access Connection Manager","Running","Automatic"
"RemoteAccess","Routing and Remote Access","Stopped","Disabled"
"RemoteRegistry","Remote Registry","Stopped","Disabled"
"RetailDemo","Retail Demo Service","Stopped","Manual"
"RmSvc","Radio Management Service","Running","Manual"
"RpcEptMapper","RPC Endpoint Mapper","Running","Automatic"
"RpcLocator","Remote Procedure Call (RPC) Locator","Stopped","Manual"
"RpcSs","Remote Procedure Call (RPC)","Running","Automatic"
"RtkAudioUniversalService","Realtek Audio Universal Service","Running","Automatic"
"RtkBtManServ","Realtek Bluetooth Device Manager Service","Running","Automatic"
"SamSs","Security Accounts Manager","Running","Automatic"
"SCardSvr","Smart Card","Stopped","Manual"
"ScDeviceEnum","Smart Card Device Enumeration Service","Stopped","Manual"
"Schedule","Task Scheduler","Running","Automatic"
"SCPolicySvc","Smart Card Removal Policy","Stopped","Manual"
"SDRSVC","Windows Backup","Stopped","Manual"
"seclogon","Secondary Logon","Stopped","Manual"
"SECOMNService","Sound Research SECOMN Service","Running","Automatic"
"SecurityHealthService","Windows Security Service","Running","Manual"
"SEMgrSvc","Payments and NFC/SE Manager","Running","Manual"
"SENS","System Event Notification Service","Running","Automatic"
"SensorDataService","Sensor Data Service","Stopped","Manual"
"SensorService","Sensor Service","Stopped","Manual"
"SensrSvc","Sensor Monitoring Service","Stopped","Manual"
"SessionEnv","Remote Desktop Configuration","Stopped","Manual"
"SgrmBroker","System Guard Runtime Monitor Broker","Running","Automatic"
"SharedAccess","Internet Connection Sharing (ICS)","Stopped","Manual"
"SharedRealitySvc","Spatial Data Service","Stopped","Manual"
"ShellHWDetection","Shell Hardware Detection","Running","Automatic"
"shpamsvc","Shared PC Account Manager","Stopped","Disabled"
"smphost","Microsoft Storage Spaces SMP","Stopped","Manual"
"SmsRouter","Microsoft Windows SMS Router Service.","Stopped","Manual"
"SNMPTRAP","SNMP Trap","Stopped","Manual"
"spectrum","Windows Perception Service","Stopped","Manual"
"Spooler","Print Spooler","Running","Automatic"
"sppsvc","Software Protection","Stopped","Automatic"
"SSDPSRV","SSDP Discovery","Running","Manual"
"ssh-agent","OpenSSH Authentication Agent","Stopped","Disabled"
"SstpSvc","Secure Socket Tunneling Protocol Service","Running","Manual"
"StateRepository","State Repository Service","Running","Manual"
"Steam Client Service","Steam Client Service","Running","Manual"
"StiSvc","Windows Image Acquisition (WIA)","Stopped","Manual"
"StorSvc","Storage Service","Running","Automatic"
"svsvc","Spot Verifier","Stopped","Manual"
"swprv","Microsoft Software Shadow Copy Provider","Stopped","Manual"
"SysMain","SysMain","Running","Automatic"
"SystemEventsBroker","System Events Broker","Running","Automatic"
"TabletInputService","Touch Keyboard and Handwriting Panel Service","Running","Manual"
"TapiSrv","Telephony","Stopped","Manual"
"TermService","Remote Desktop Services","Stopped","Manual"
"Themes","Themes","Running","Automatic"
"TieringEngineService","Storage Tiers Management","Stopped","Manual"
"TimeBrokerSvc","Time Broker","Running","Manual"
"TokenBroker","Web Account Manager","Running","Manual"
"TrkWks","Distributed Link Tracking Client","Running","Automatic"
"TroubleshootingSvc","Recommended Troubleshooting Service","Stopped","Manual"
"TrustedInstaller","Windows Modules Installer","Stopped","Manual"
"TunnelBearMaintenance","TunnelBear Maintenance","Running","Automatic"
"tzautoupdate","Auto Time Zone Updater","Stopped","Manual"
"UdkUserSvc_4da02d0","Udk User Service_4da02d0","Stopped","Manual"
"uhssvc","Microsoft Update Health Service","Stopped","Disabled"
"UmRdpService","Remote Desktop Services UserMode Port Redirector","Stopped","Manual"
"UnistoreSvc_4da02d0","User Data Storage_4da02d0","Running","Manual"
"upnphost","UPnP Device Host","Stopped","Manual"
"UserDataSvc_4da02d0","User Data Access_4da02d0","Running","Manual"
"UserManager","User Manager","Running","Automatic"
